AdvIndustry_L1,AdvIndustry_L2,Advertiser
PD,PD Con Goods & Srvcs,Hershey
PD,PD Con Goods & Srvcs,Mondelez
CMT,CMT C&M,BBC Worldwide
PD,PD Con Goods & Srvcs,Diageo
PD,PD Con Goods & Srvcs,Unilever
PD,PD Con Goods & Srvcs,Danone
PD,PD Con Goods & Srvcs,Nike
PD,PD Con Goods & Srvcs,P&G
PD,PD Retail,Under Armour
PD,PD Con Goods & Srvcs,Coca-Cola
PD,PD Con Goods & Srvcs,Chobani
PD,PD Con Goods & Srvcs,Adidas
PD,PD Con Goods & Srvcs,Estee Lauder
PD,PD Con Goods & Srvcs,L'Oreal
PD,PD Con Goods & Srvcs,Clorox
PD,PD Con Goods & Srvcs,Barilla
PD,PD Con Goods & Srvcs,Nestle
CMT,CMT SW&P,"Facebook, Inc."
CMT,CMT HT,Intel
CMT,CMT HT,Microsoft
CMT,CMT SW&P,Google
CMT,CMT C&M,AT&T
PD,PD Con Goods & Srvcs,Henkel AG & Co KGaA
PD,PD Retail,Dixons Carphone Plc
PD,PD Con Goods & Srvcs,Energizer
PD,PD Con Goods & Srvcs,Mars Inc
PD,PD Con Goods & Srvcs,Hasbro
PD,PD Con Goods & Srvcs,Kellogg
CMT,CMT HT,IBM
PD,PD Con Goods & Srvcs,"COTY, Inc."
PD,PD Retail,Walmart
PD,PD Retail,Target
PD,PD Retail,Carrefour
PD,PD Retail,Kohl's
PD,PD Con Goods & Srvcs,McDonalds
PD,PD Con Goods & Srvcs,Del Monte
PD,PD Retail,H&M
PD,PD Con Goods & Srvcs,Panasonic
PD,PD Con Goods & Srvcs,Cargill
CMT,CMT HT,Nokia
PD,PD Con Goods & Srvcs,Miller Coors
CMT,CMT HT,Lenovo
PD,PD Con Goods & Srvcs,Fujifilm
PD,PD Con Goods & Srvcs,Philip Morris International
CMT,CMT HT,"Huawei Technologies Co., Ltd."
PD,PD Retail,Hearst Corporation
CMT,CMT C&M,T-Mobile
CMT,CMT C&M,Huawei
CMT,CMT HT,Boeing
CMT,CMT HT,Samsung Electronics
CMT,CMT HT,Google
CMT,CMT HT,Facebook
CMT,CMT C&M,U.S. Cellular
CMT,CMT C&M,Verizon
CMT,CMT C&M,Vodafone
CMT,CMT C&M,Walt Disney
CMT,CMT C&M,Liberty Global
CMT,CMT C&M,Sprint
CMT,CMT HT,Sony 
CMT,CMT C&M,Telefonica
CMT,CMT C&M,Bell Canada
CMT,CMT C&M,Telstra
